sample_date,region,p_group,phyto_richness
2017-09-03,Mackay,Dinoflagellates,2
2017-09-03,Mackay,Other / Unidentified,27
2017-09-04,Mackay,Dinoflagellates,5
2017-09-04,Mackay,Other / Unidentified,26
2017-10-20,Mackay,Dinoflagellates,2
2017-10-20,Mackay,Other / Unidentified,25
2017-10-21,Mackay,Dinoflagellates,4
2017-10-21,Mackay,Other / Unidentified,37
2017-10-22,Mackay,Dinoflagellates,1
2017-10-22,Mackay,Other / Unidentified,29
2017-11-18,Bowen,Dinoflagellates,5
2017-11-18,Bowen,Other flagellates / minor groups,1
2017-11-18,Bowen,Other / Unidentified,29
2017-11-19,Bowen,Dinoflagellates,2
2017-11-19,Bowen,Other / Unidentified,15
2017-12-01,Mackay,Dinoflagellates,2
2017-12-01,Mackay,Other / Unidentified,23
2017-12-02,Mackay,Cyanobacteria,1
2017-12-02,Mackay,Dinoflagellates,4
2017-12-02,Mackay,Other / Unidentified,44
2017-12-03,Mackay,Dinoflagellates,3
2017-12-03,Mackay,Other / Unidentified,29
2017-12-20,Bowen,Dinoflagellates,6
2017-12-20,Bowen,Other / Unidentified,35
2018-01-31,Mackay,Dinoflagellates,4
2018-01-31,Mackay,Other flagellates / minor groups,1
2018-01-31,Mackay,Other / Unidentified,24
2018-02-01,Mackay,Dinoflagellates,4
2018-02-01,Mackay,Other flagellates / minor groups,1
2018-02-01,Mackay,Other / Unidentified,40
2018-02-20,Bowen,Dinoflagellates,5
2018-02-20,Bowen,Other / Unidentified,21
2018-03-15,Weipa,Dinoflagellates,3
2018-03-15,Weipa,Other / Unidentified,19
2018-03-16,Weipa,Dinoflagellates,4
2018-03-16,Weipa,Other / Unidentified,23
2018-04-19,Weipa,Dinoflagellates,1
2018-04-19,Weipa,Other / Unidentified,26
2018-04-20,Weipa,Dinoflagellates,3
2018-04-20,Weipa,Other / Unidentified,27
2018-08-17,Bowen,Dinoflagellates,7
2018-08-17,Bowen,Other / Unidentified,27
2018-08-18,Bowen,Dinoflagellates,6
2018-08-18,Bowen,Other / Unidentified,10
2018-08-28,Mackay,Dinoflagellates,3
2018-08-28,Mackay,Other / Unidentified,22
2018-08-30,Mackay,Dinoflagellates,6
2018-08-30,Mackay,Other / Unidentified,31
2018-08-31,Mackay,Dinoflagellates,1
2018-08-31,Mackay,Other / Unidentified,9
2018-09-10,Weipa,Dinoflagellates,6
2018-09-10,Weipa,Other flagellates / minor groups,1
2018-09-10,Weipa,Other / Unidentified,21
2018-11-17,Bowen,Dinoflagellates,2
2018-11-17,Bowen,Other / Unidentified,21
2018-11-18,Bowen,Dinoflagellates,3
2018-11-18,Bowen,Other / Unidentified,16
2018-11-29,Weipa,Dinoflagellates,3
2018-11-29,Weipa,Other / Unidentified,27
2019-01-24,Mackay,Dinoflagellates,5
2019-01-24,Mackay,Other / Unidentified,20
2019-01-25,Mackay,Dinoflagellates,3
2019-01-25,Mackay,Other / Unidentified,22
2019-02-27,Weipa,Dinoflagellates,5
2019-02-27,Weipa,Other / Unidentified,27
2019-03-14,Mackay,Dinoflagellates,5
2019-03-14,Mackay,Other / Unidentified,22
2019-03-15,Mackay,Dinoflagellates,4
2019-03-15,Mackay,Other / Unidentified,18
2019-03-16,Mackay,Dinoflagellates,2
2019-03-16,Mackay,Other / Unidentified,11
2019-03-25,Bowen,Dinoflagellates,4
2019-03-25,Bowen,Other / Unidentified,18
2019-03-26,Bowen,Dinoflagellates,2
2019-03-26,Bowen,Other / Unidentified,11
2019-05-30,Bowen,Dinoflagellates,3
2019-05-30,Bowen,Other / Unidentified,20
2019-05-31,Bowen,Dinoflagellates,3
2019-05-31,Bowen,Other / Unidentified,14
2019-09-23,Mackay,Dinoflagellates,3
2019-09-23,Mackay,Other / Unidentified,17
2019-09-24,Mackay,Dinoflagellates,3
2019-09-24,Mackay,Other / Unidentified,23
2019-10-14,Bowen,Dinoflagellates,3
2019-10-14,Bowen,Other / Unidentified,22
2019-10-17,Weipa,Dinoflagellates,3
2019-10-17,Weipa,Other / Unidentified,16
2019-10-18,Weipa,Other / Unidentified,12
2020-02-19,Mackay,Dinoflagellates,4
2020-02-19,Mackay,Other / Unidentified,29
2020-02-20,Mackay,Dinoflagellates,4
2020-02-20,Mackay,Other / Unidentified,24
2020-03-05,Weipa,Dinoflagellates,4
2020-03-05,Weipa,Other / Unidentified,13
2020-03-06,Weipa,Dinoflagellates,5
2020-03-06,Weipa,Other / Unidentified,14
2020-04-04,Bowen,Dinoflagellates,3
2020-04-04,Bowen,Other / Unidentified,20
2020-07-11,Mackay,Dinoflagellates,4
2020-07-11,Mackay,Other / Unidentified,24
2020-07-12,Mackay,Dinoflagellates,4
2020-07-12,Mackay,Other / Unidentified,16
