sample_date,region,z_group,zoop_richness
2017-09-05,Mackay,Gelatinous zooplankton,1
2017-09-05,Mackay,Larval stages,1
2017-09-05,Mackay,Other / Unidentified,19
2017-10-20,Mackay,Gelatinous zooplankton,1
2017-10-20,Mackay,Larval stages,1
2017-10-20,Mackay,Other / Unidentified,9
2017-10-21,Mackay,Gelatinous zooplankton,2
2017-10-21,Mackay,Larval stages,2
2017-10-21,Mackay,Other / Unidentified,15
2017-10-22,Mackay,Gelatinous zooplankton,1
2017-10-22,Mackay,Larval stages,1
2017-10-22,Mackay,Other / Unidentified,15
2017-11-22,Bowen,Gelatinous zooplankton,2
2017-11-22,Bowen,Larval stages,2
2017-11-22,Bowen,Other / Unidentified,21
2017-12-01,Mackay,Gelatinous zooplankton,2
2017-12-01,Mackay,Larval stages,1
2017-12-01,Mackay,Other / Unidentified,12
2017-12-02,Mackay,Gelatinous zooplankton,2
2017-12-02,Mackay,Larval stages,2
2017-12-02,Mackay,Other / Unidentified,18
2017-12-03,Mackay,Gelatinous zooplankton,1
2017-12-03,Mackay,Larval stages,2
2017-12-03,Mackay,Other / Unidentified,14
2017-12-20,Bowen,Gelatinous zooplankton,1
2017-12-20,Bowen,Larval stages,2
2017-12-20,Bowen,Other / Unidentified,18
2018-01-19,Weipa,Gelatinous zooplankton,1
2018-01-19,Weipa,Larval stages,2
2018-01-19,Weipa,Other / Unidentified,8
2018-01-31,Mackay,Gelatinous zooplankton,1
2018-01-31,Mackay,Larval stages,2
2018-01-31,Mackay,Other / Unidentified,8
2018-02-01,Mackay,Gelatinous zooplankton,2
2018-02-01,Mackay,Larval stages,1
2018-02-01,Mackay,Other / Unidentified,20
2018-02-19,Bowen,Gelatinous zooplankton,1
2018-02-19,Bowen,Larval stages,1
2018-02-19,Bowen,Other / Unidentified,14
2018-02-20,Bowen,Larval stages,1
2018-02-20,Bowen,Other / Unidentified,7
2018-03-15,Weipa,Gelatinous zooplankton,1
2018-03-15,Weipa,Larval stages,1
2018-03-15,Weipa,Other / Unidentified,11
2018-03-16,Weipa,Gelatinous zooplankton,1
2018-03-16,Weipa,Larval stages,1
2018-03-16,Weipa,Other / Unidentified,13
2018-08-17,Bowen,Gelatinous zooplankton,1
2018-08-17,Bowen,Larval stages,2
2018-08-17,Bowen,Other / Unidentified,17
2018-08-18,Bowen,Gelatinous zooplankton,1
2018-08-18,Bowen,Larval stages,1
2018-08-18,Bowen,Other / Unidentified,8
2018-08-29,Mackay,Larval stages,1
2018-08-29,Mackay,Other / Unidentified,10
2018-08-30,Mackay,Gelatinous zooplankton,2
2018-08-30,Mackay,Larval stages,2
2018-08-30,Mackay,Other / Unidentified,21
2018-08-31,Mackay,Larval stages,2
2018-08-31,Mackay,Other / Unidentified,9
2018-11-17,Bowen,Gelatinous zooplankton,1
2018-11-17,Bowen,Larval stages,2
2018-11-17,Bowen,Other / Unidentified,11
2018-11-18,Bowen,Other / Unidentified,4
2018-11-29,Weipa,Gelatinous zooplankton,2
2018-11-29,Weipa,Larval stages,2
2018-11-29,Weipa,Other / Unidentified,14
2019-01-24,Mackay,Gelatinous zooplankton,2
2019-01-24,Mackay,Larval stages,2
2019-01-24,Mackay,Other / Unidentified,20
2019-01-25,Mackay,Gelatinous zooplankton,2
2019-01-25,Mackay,Larval stages,1
2019-01-25,Mackay,Other / Unidentified,18
2019-02-27,Weipa,Gelatinous zooplankton,2
2019-02-27,Weipa,Larval stages,1
2019-02-27,Weipa,Other / Unidentified,9
2019-03-14,Mackay,Gelatinous zooplankton,1
2019-03-14,Mackay,Larval stages,2
2019-03-14,Mackay,Other / Unidentified,12
2019-03-15,Mackay,Gelatinous zooplankton,2
2019-03-15,Mackay,Larval stages,2
2019-03-15,Mackay,Other / Unidentified,14
2019-03-16,Mackay,Other / Unidentified,6
2019-03-25,Bowen,Gelatinous zooplankton,2
2019-03-25,Bowen,Larval stages,2
2019-03-25,Bowen,Other / Unidentified,16
2019-03-26,Bowen,Gelatinous zooplankton,1
2019-03-26,Bowen,Other / Unidentified,10
2019-05-30,Bowen,Gelatinous zooplankton,2
2019-05-30,Bowen,Larval stages,2
2019-05-30,Bowen,Other / Unidentified,14
2019-05-31,Bowen,Gelatinous zooplankton,2
2019-05-31,Bowen,Larval stages,1
2019-05-31,Bowen,Other / Unidentified,10
2019-07-11,Mackay,Gelatinous zooplankton,2
2019-07-11,Mackay,Larval stages,2
2019-07-11,Mackay,Other / Unidentified,8
2019-07-12,Mackay,Gelatinous zooplankton,1
2019-07-12,Mackay,Larval stages,2
2019-07-12,Mackay,Other / Unidentified,10
2019-09-23,Mackay,Gelatinous zooplankton,2
2019-09-23,Mackay,Larval stages,2
2019-09-23,Mackay,Other / Unidentified,10
2019-09-24,Mackay,Crustacean macrozooplankton,1
2019-09-24,Mackay,Gelatinous zooplankton,2
2019-09-24,Mackay,Larval stages,2
2019-09-24,Mackay,Other / Unidentified,17
2019-10-14,Bowen,Gelatinous zooplankton,2
2019-10-14,Bowen,Larval stages,2
2019-10-14,Bowen,Other / Unidentified,16
2019-10-17,Weipa,Gelatinous zooplankton,1
2019-10-17,Weipa,Larval stages,2
2019-10-17,Weipa,Other / Unidentified,11
2019-10-18,Weipa,Gelatinous zooplankton,2
2019-10-18,Weipa,Larval stages,1
2019-10-18,Weipa,Other / Unidentified,6
2020-02-19,Mackay,Gelatinous zooplankton,2
2020-02-19,Mackay,Larval stages,2
2020-02-19,Mackay,Other / Unidentified,16
2020-02-20,Mackay,Gelatinous zooplankton,1
2020-02-20,Mackay,Larval stages,1
2020-02-20,Mackay,Other / Unidentified,10
2020-03-05,Weipa,Gelatinous zooplankton,2
2020-03-05,Weipa,Larval stages,1
2020-03-05,Weipa,Other / Unidentified,7
2020-03-06,Weipa,Larval stages,1
2020-03-06,Weipa,Other / Unidentified,4
2020-04-04,Bowen,Gelatinous zooplankton,2
2020-04-04,Bowen,Larval stages,2
2020-04-04,Bowen,Other / Unidentified,13
